 electric dipole polarizability:    15104.186366367150     
 m1, energy weight E*R sum:         455024.14326802036     
 m0, R(E) sum:                      33782.294355871818     
 centroid m1/m0:                    13.469308463027202     
               E                R(E)           photodisintegration cross section
         34.20000000         41.05729954        564.81843498
         34.30000000         40.62647170        560.52579411
         34.40000000         40.20294100        556.29946593
         34.50000000         39.78652437        552.13779066
         34.60000000         39.37704529        548.03916987
         34.70000000         38.97433343        544.00206341
         34.80000000         38.57822439        540.02498645
         34.90000000         38.18855939        536.10650682
         35.00000000         37.80518502        532.24524245
         35.10000000         37.42795302        528.43985897
         35.20000000         37.05671999        524.68906748
         35.30000000         36.69134724        520.99162244
         35.40000000         36.33170055        517.34631967
         35.50000000         35.97764995        513.75199448
         35.60000000         35.62906960        510.20751994
         35.70000000         35.28583755        506.71180517
         35.80000000         34.94783565        503.26379380
         35.90000000         34.61494930        499.86246250
         36.00000000         34.28706741        496.50681955
         36.10000000         33.96408217        493.19590352
         36.20000000         33.64588897        489.92878203
         36.30000000         33.33238626        486.70455057
         36.40000000         33.02347544        483.52233135
         36.50000000         32.71906072        480.38127223
         36.60000000         32.41904904        477.28054574
         36.70000000         32.12334996        474.21934810
         36.80000000         31.83187557        471.19689828
         36.90000000         31.54454037        468.21243720
         37.00000000         31.26126121        465.26522682
         37.10000000         30.98195721        462.35454941
         37.20000000         30.70654964        459.47970679
         37.30000000         30.43496190        456.64001960
         37.40000000         30.16711938        453.83482663
         37.50000000         29.90294945        451.06348419
         37.60000000         29.64238136        448.32536546
         37.70000000         29.38534620        445.61985989
         37.80000000         29.13177680        442.94637271
         37.90000000         28.88160772        440.30432428
         38.00000000         28.63477514        437.69314966
         38.10000000         28.39121685        435.11229810
         38.20000000         28.15087220        432.56123251
         38.30000000         27.91368201        430.03942909
         38.40000000         27.67958855        427.54637685
         38.50000000         27.44853550        425.08157719
         38.60000000         27.22046789        422.64454352
         38.70000000         26.99533206        420.23480089
         38.80000000         26.77307563        417.85188557
         38.90000000         26.55364746        415.49534476
         39.00000000         26.33699761        413.16473621
         39.10000000         26.12307728        410.85962794
         39.20000000         25.91183883        408.57959787
         39.30000000         25.70323569        406.32423355
         39.40000000         25.49722236        404.09313189
         39.50000000         25.29375436        401.88589884
         39.60000000         25.09278824        399.70214917
         39.70000000         24.89428150        397.54150617
